Date,GN,SP 500
3/31/2021,"499,4","3958,55"
3/30/2021,494,"3971,09"
3/29/2021,"510,4","3974,54"
3/26/2021,"507,6","3909,52"
3/25/2021,"491,6","3889,14"
3/24/2021,"488,1","3910,52"
3/23/2021,"491,8","3940,59"
3/22/2021,"479,7","3913,1"
3/19/2021,"474,7","3915,46"
3/18/2021,"480,3","3974,12"
3/17/2021,"476,4","3962,71"
3/16/2021,"487,6","3968,94"
3/15/2021,"475,1","3943,34"
3/12/2021,463,"3939,34"
3/11/2021,"471,7","3898,81"
3/10/2021,"460,2","3875,44"
3/9/2021,465,"3821,35"
3/8/2021,"452,5","3841,94"
3/5/2021,"453,2","3768,47"
3/4/2021,"474,7","3819,72"
3/3/2021,"499,5","3870,29"
3/2/2021,525,"3901,82"
3/1/2021,"527,6","3811,15"
2/26/2021,518,"3829,34"
2/25/2021,"528,6","3925,43"
2/24/2021,"521,8","3881,37"
2/23/2021,"527,4","3876,5"
2/22/2021,"542,8","3906,71"
2/19/2021,"548,8","3913,97"
2/18/2021,"548,2","3931,33"
2/17/2021,"543,4","3932,59"
2/16/2021,549,"3934,83"
2/15/2021,559,"3916,38"
2/12/2021,"551,4","3909,88"
2/11/2021,515,"3911,23"
2/10/2021,"510,2","3915,59"
2/9/2021,"514,8","3886,83"
2/8/2021,"509,6","3871,74"
2/5/2021,"507,6","3830,17"
2/4/2021,"497,8","3826,31"
2/3/2021,"491,6","3773,86"
2/2/2021,"496,1","3714,24"
2/1/2021,"484,2","3787,38"
1/29/2021,470,"3750,77"
1/28/2021,"484,1","3849,62"
1/27/2021,"487,1","3855,36"
1/26/2021,"483,2","3841,47"
1/25/2021,493,"3853,07"
1/22/2021,"483,8","3851,85"
1/21/2021,"475,3","3798,91"
1/20/2021,"477,5","3768,25"
1/19/2021,483,"3795,54"
1/18/2021,"467,2","3809,84"
1/15/2021,"464,5","3801,19"
1/14/2021,"468,9","3799,61"
1/13/2021,"461,2","3824,68"
1/12/2021,461,"3803,79"
1/11/2021,"462,7","3748,14"
1/8/2021,"475,6","3726,86"
1/7/2021,"476,3","3700,65"
1/6/2021,472,"3756,07"
